subject_id,win5,win10
0,0.7272787894819444,0.8566564090325782
1,0.40636403692793366,0.5805503261179736
2,0.2805609966050816,0.5272234287567696
3,0.46453432884472,0.8895132395229525
4,0.4651495007752483,0.7281662906646031
5,0.2805609966050816,0.5272234287567696
6,0.19754496531103383,0.361599532529536
7,0.2805609966050816,0.5272234287567696
8,0.37915977886921937,0.1760675629912497
9,0.07348748313364595,0.03645547236000268
10,0.09355545160742929,0.501885638176262
11,0.0692417152795114,0.2944716523591627
