subject_id,win5,win10
0,0.8276627785167829,0.688341336717383
1,0.6052174467443028,0.46799544752832545
2,0.7527647254875489,0.8063513702541443
3,0.745988198724183,0.666368587996764
4,0.588932323915532,0.44990475524524787
5,0.7527647254875489,0.8063513702541443
6,0.18601703440007666,0.2111029898318384
7,0.7527647254875489,0.8063513702541443
8,0.7922479838180522,0.5960764771045564
9,0.27054241209058116,0.3858461294355442
10,0.2353374662806358,0.20148297073095978
11,0.15267624150255021,0.14931497935742022
