subject_id,win5,win10
0,29.909478879237067,29.463696680216582
1,30.593968115746275,31.160738570854548
2,25.50240176382059,24.310320047075116
3,28.306191073813004,23.62751778064576
4,29.64717069919205,31.981559939497906
5,25.50240176382059,24.310320047075116
6,29.197744058647288,27.774522512176347
7,25.50240176382059,24.310320047075116
8,25.51199200407164,25.269620151331335
9,30.848771061337008,31.87578331037065
10,30.960967532960108,27.349179040688643
11,28.841917534066337,29.832431187562236
