subject_id,testscore_100%,testscore_100%,testscore_100%
0,0.667676411166276,0.667676411166276,0.667676411166276
1,0.7143179945438703,0.7143179945438703,0.7143179945438703
2,1.034713669269848,1.034713669269848,1.034713669269848
3,0.293092706642639,0.293092706642639,0.293092706642639
4,2.9375928593741265,2.9375928593741265,2.9375928593741265
5,1.034713669269848,1.034713669269848,1.034713669269848
6,3.4981873230381773,3.4981873230381773,3.4981873230381773
7,1.034713669269848,1.034713669269848,1.034713669269848
8,2.0201544503275763,2.0201544503275763,2.0201544503275763
9,1.2671068362989846,1.2671068362989846,1.2671068362989846
10,5.624971859905445,5.624971859905445,5.624971859905445
11,1.5082940116771166,1.5082940116771166,1.5082940116771166
