subject_id,RMSE_100%,RMSE_100%,RMSE_100%
0,19.60295225043299,19.60295225043299,19.60295225043299
1,38.53266574806792,38.53266574806792,38.53266574806792
2,26.76085962104296,26.76085962104296,26.76085962104296
3,20.412184530093857,20.412184530093857,20.412184530093857
4,37.4164063376602,37.4164063376602,37.4164063376602
5,26.760859621042965,26.760859621042965,26.760859621042965
6,48.61451165075633,48.61451165075633,48.61451165075633
7,26.760859621042957,26.760859621042957,26.760859621042957
8,33.82830769394291,33.82830769394291,33.82830769394291
9,47.71025119732636,47.71025119732636,47.71025119732636
10,31.608352383589477,31.608352383589477,31.608352383589477
11,23.683888098172247,23.683888098172247,23.683888098172247
