subject_id,win4,win5,win6,win8,win10
0,37.64163600042637,35.91143330716936,36.816980991278506,37.25765222841334,30.67769690526298
1,39.81170823679109,39.750016773317036,39.10521947579152,36.68301322964796,34.71661197568034
2,36.46528716074352,36.502271036189455,36.85308235470922,34.725936061458306,28.272888865622335
3,33.342846218201196,30.80306391579715,31.241755791864218,30.270084698997053,23.69469936804055
4,41.17294597764521,40.58550974805556,38.28096520629874,37.73242843449832,36.19754306137438
5,36.46528716074352,36.502271036189455,36.85308235470922,34.725936061458306,28.272888865622335
6,37.99549423347512,38.07512203828318,37.130280942997445,34.661645678457795,30.943394203106163
7,36.46528716074352,36.502271036189455,36.85308235470922,34.725936061458306,28.272888865622335
8,38.086409785860155,36.84171117956387,32.56128143664026,31.190568888098387,29.21432472921817
9,37.41620670893523,39.893605798688206,37.56514209901481,33.46262404553887,35.539236547679
10,39.88150690227248,39.87333939923412,38.82862914271693,36.70547390443661,30.276013927486268
11,38.43107603613083,38.40100364053234,31.332400555579998,29.989821925842634,33.12356673137889
