subject_id,win5,win10
0,24.414953195633874,14.592405445291023
1,33.38832302642246,29.65954066490722
2,28.478214660858193,20.015328581426335
3,13.90628323094648,17.30978096355136
4,33.677877720814564,31.458336691352052
5,28.478214660858193,20.015328581426335
6,39.976290253464256,34.74187538291276
7,28.478214660858193,20.015328581426335
8,35.614916024483016,33.10980478220844
9,39.98909367662296,34.46780852081395
10,38.25207437512273,29.049027597420313
11,21.059529927513342,21.49395798268754
