subject_id,testscore_100%,testscore_100%,testscore_100%
0,5.399362488953308,5.399362488953308,5.399362488953308
1,5.29060474866182,5.29060474866182,5.29060474866182
2,4.9667476664962305,4.9667476664962305,4.9667476664962305
3,6.5968346183124,6.5968346183124,6.5968346183124
4,5.689477638748599,5.689477638748599,5.689477638748599
5,4.9667476664962305,4.9667476664962305,4.9667476664962305
6,5.727085825056639,5.727085825056639,5.727085825056639
7,5.370216969349182,5.370216969349182,5.370216969349182
8,5.631275685536531,5.631275685536531,5.631275685536531
9,4.778444653074303,4.778444653074303,4.778444653074303
10,9.982766500657453,9.982766500657453,9.982766500657453
11,7.264619377000575,7.264619377000575,7.264619377000575
