subject_id,RMSE_100%,RMSE_100%,RMSE_100%
0,28.45881890281106,28.45881890281106,28.45881890281106
1,28.170742132561454,28.170742132561454,28.170742132561454
2,27.294910697315622,27.294910697315622,27.294910697315622
3,31.45671935766443,31.45671935766443,31.45671935766443
4,29.213381280027992,29.213381280027992,29.213381280027992
5,27.294910697315622,27.294910697315622,27.294910697315622
6,29.309774372357353,29.309774372357353,29.309774372357353
7,28.381905246166568,28.381905246166568,28.381905246166568
8,29.06357432991475,29.06357432991475,29.06357432991475
9,26.772498911404323,26.772498911404323,26.772498911404323
10,38.69644654356028,38.69644654356028,38.69644654356028
11,33.01049691461924,33.01049691461924,33.01049691461924
