subject_id,win4,win5,win6,win8,win10
0,0.7268839212929196,0.8897891241902461,0.6548374819955436,0.45584808656574094,0.8940234258713865
1,0.3551181328990045,0.217121229816157,0.3004513180861982,0.2527683352582534,0.36803077834079934
2,0.5116975682520815,0.6183225131406782,0.511236976124194,0.4745588243758476,0.5787144679354124
3,0.8316504762051562,0.8293115367622143,0.8308347896004339,0.7840680082352466,0.8093376607959681
4,0.18442095098864963,0.25942711063043733,0.2739943831940532,0.1740014094221798,0.21787256257466825
5,0.5116975682520815,0.6183225131406782,0.511236976124194,0.4745588243758476,0.5787144679354124
6,0.06520979403688199,0.027648281665661356,0.08171567057249862,0.08242476448122449,0.3363455841831525
7,0.5116975682520815,0.6183225131406782,0.511236976124194,0.4745588243758476,0.5787144679354124
8,0.39002824645319323,0.42489247593747903,0.37304575844424503,0.2825316123015855,0.47695107908992695
9,0.04494872989674059,0.10705123579957543,0.10292813948122459,0.05408156554455168,0.14858215649118445
10,0.4857466962834406,0.40739163465774597,0.5749631428614976,0.3676895210641443,0.4844294046444537
11,0.6888682956595729,0.7395672730551428,0.6342945212131332,0.505434226741872,0.8549155021309819
