subject_id,win5,win10
0,13.509596971817937,11.837547260372784
1,36.0062111784126,28.907115098862395
2,25.140762085486525,23.601796431043148
3,16.81249818206007,15.877760484795429
4,35.01983302067553,32.15848261556575
5,25.140762085486525,23.601796431043148
6,40.12747743830485,29.622914294745318
7,25.140762085486525,23.601796431043148
8,30.860623127985193,26.298316213654136
9,38.454169520559184,33.552753144556284
10,31.32665722682158,26.109638444621766
11,20.767199999534927,13.850558736286025
