subject_id,win4,win5,win6,win8,win10
0,0.17968287116017112,0.2212372933724196,0.14547512100100068,0.04349171433357879,0.2882427019011672
1,0.08237249226725718,0.045855173019936246,0.03595385957457864,0.07276936461221184,0.08849071879754111
2,0.23015361544913238,0.19540109251241822,0.1437984686884285,0.16906760699776735,0.39545755733951127
3,0.35634946074360185,0.42703578103823403,0.38468255006557517,0.36862840469632685,0.5753913570491047
4,0.018548860629271413,0.005323912131936948,0.076165612529012,0.018958721402558276,0.009066270614443095
5,0.23015361544913238,0.19540109251241822,0.1437984686884285,0.16906760699776735,0.39545755733951127
6,0.16418724443708732,0.12456828609290005,0.13086981061880587,0.1721414772513683,0.2758603555993011
7,0.23015361544913238,0.19540109251241822,0.1437984686884285,0.16906760699776735,0.39545755733951127
8,0.16018259639515753,0.18036734140193134,0.33160784945872757,0.3296457622303455,0.35452692805126995
9,0.18947892633621688,0.038949406025888034,0.11039249745048108,0.22842569645955146,0.04478174748203223
10,0.07915206669792618,0.03992560697674152,0.049542984332452966,0.07163354725286686,0.30675967529790693
11,0.14491381948480553,0.10951867113515812,0.38110680877837055,0.38026568878983524,0.17022448628617137
