subject_id,win5,win10
0,0.08564756297264398,0.17499698544660902
1,0.04331810811203962,0.07722344663231895
2,0.3352503752258843,0.438354325691402
3,0.181047332014715,0.4694610629843369
4,0.10161510347762504,0.027968471215303103
5,0.3352503752258843,0.438354325691402
6,0.12864620133108384,0.2668813487485002
7,0.3352503752258843,0.438354325691402
8,0.3347503197914995,0.3931540008623705
9,0.02731623039884934,0.03438768196749431
10,0.02022809442028428,0.28916360731799184
11,0.14975478647492324,0.1542181510471503
