subject_id,win5,win10
0,8.261085867327246,10.14136868885377
1,12.503355193277367,13.249962351480573
2,9.894704073742208,7.994000739062537
3,10.02939047525938,10.492776847006128
4,12.758636280161346,13.473360040059355
5,9.894704073742208,7.994000739062537
6,17.95375321144773,16.134931464232913
7,9.894704073742208,7.994000739062537
8,9.070270029500298,11.545335099315931
9,16.996034973255668,14.236248708359602
10,17.401332229253835,16.23301018476805
11,18.317756641166245,16.754881581558593
