subject_id,win4,win5,win6,win8,win10
0,21.719570597661562,13.509596971817937,23.39901801752734,28.101609640222897,11.837547260372785
1,33.37472404305681,36.00621117841259,33.31154599663258,32.930532237673596,28.907115098862395
2,29.04170062576557,25.140762085486525,27.844215676204588,27.614244623464735,23.601796431043148
3,17.052322861553026,16.81249818206007,16.38103522358437,17.70229654730138,15.877760484795425
4,37.53277117939541,35.01983302067553,33.93562154519102,34.62268699243404,32.15848261556575
5,29.04170062576557,25.140762085486525,27.844215676204588,27.614244623464735,23.601796431043148
6,40.182289422702084,40.12747743830485,38.16580298584551,36.49152039236818,29.622914294745318
7,29.04170062576557,25.140762085486525,27.844215676204588,27.614244623464735,23.601796431043148
8,32.4588002137128,30.860623127985196,31.53579181926175,32.26803368114215,26.298316213654136
9,40.615419563090256,38.454169520559184,37.722410298758845,37.050831677621886,33.55275314455628
10,29.80342293838792,31.326657226821577,25.965644891586063,30.29258296275939,26.10963844462177
11,23.181937717153904,20.767199999534927,24.085271759431475,26.790643486875382,13.850558736286025
