subject_id,win5,win10
0,0.6400423070380479,0.8389576126452947
1,0.3268236023449682,0.3347034581559577
2,0.5102604406582618,0.697021457196096
3,0.8832217914859279,0.7733949578323879
4,0.3150969518247959,0.2515583683974537
5,0.5102604406582618,0.697021457196096
6,0.034961484040325175,0.08716361873939138
7,0.5102604406582618,0.697021457196096
8,0.234044538990956,0.17091384177277158
9,0.03434322881779828,0.10150892476650042
10,0.11641232246381572,0.3618105469043773
11,0.7321836951885083,0.650602964823946
