subject_id,win5,win10
0,0.04134325504970482,0.09977625880005114
1,0.10158648934948189,0.18188088290691506
2,0.04084409106059905,0.17581560689296238
3,0.33270940534613724,0.24203399802462044
4,0.05334856231372398,0.028155453311170198
5,0.04084409106059905,0.17581560689296238
6,0.0890238435031725,0.0427625114409691
7,0.04084409106059905,0.17581560689296238
8,0.0014543324618513376,0.14548731054271502
9,0.04752594666483234,0.16847907173377075
10,0.1123563072844399,0.2251505345160547
11,0.05716782416322119,0.15825992483511364
