subject_id,win5,win10
0,28.845696114404195,30.695697626356495
1,22.009508043907548,21.028455101637565
2,29.21482001031664,27.84753018863503
3,38.696279176359354,28.80560012548061
4,39.36908795631291,31.925552920291523
5,29.21482001031664,27.84753018863503
6,40.40532303395179,31.748283420675985
7,29.21482001031664,27.84753018863503
8,31.065914727576292,20.782959533510436
9,38.52204772286498,35.698665185359765
10,39.435016230234,36.13007491654473
11,38.75601240281166,34.24579817865898
