subject_id,testscore_full,testscore_half,testscore_quarter
0,0.4924761203554479,-1.0237943568161159,-0.23954341140105218
1,-0.08948926657470047,-1.5457725333726655,-9.56792487366401
2,0.3661973467465564,0.07009656920052665,0.022353881124746008
3,0.5752342618246938,0.03203453908418974,-8.12884167278248
4,0.20084731169191095,-0.26651458687123064,0.23405794619400455
5,0.36619734674655624,0.07009656920052687,-0.06846791276683972
6,-0.27348124224569603,-0.1629525025426677,-0.09748976322857739
7,0.3661973467465562,0.14169048519870464,-0.06846791276683972
8,0.05525024588291749,-0.41766210943002036,-1.5246486086096454
9,-0.05726272027811552,-0.36080010797834494,-0.7751505254014655
10,-0.3738646752033814,-0.37424908336059115,-1.2226194474258212
11,0.4350486686719803,0.15253281272136032,-20.202856800899394
