subject_id,RMSE_100%,RMSE_50.0%,RMSE_25.0%
0,7.827378932528571,3.4239240167504565,1.8700133937260093
1,7.9781554494950315,5.356786711069711,3.957769007518969
2,7.875542495005712,4.166141032649935,2.6141354634812695
3,7.837865990467039,3.1455262721035746,0.9323374905889831
4,7.971987540608158,4.834932141629059,3.6769882968244354
5,7.875542495005712,4.166524836691383,2.658424787656647
6,8.106139765796183,5.163214900662654,4.524817492955805
7,7.883058971751993,4.132358862719721,2.658424787656647
8,7.932240029764866,4.9814485106689315,2.885776245472077
9,8.16049788990252,5.1062774795321015,4.037957821626727
10,7.920217193132477,4.408161887428489,3.41233832749143
11,7.846608067861502,3.3237866530566302,1.6988388781455288
