subject_id,RMSE_100%,RMSE_100%,RMSE_100%
0,134.96190569620657,134.96190569620657,134.96190569620657
1,221.571824715339,221.571824715339,221.571824715339
2,679.9723103765382,679.9723103765382,679.9723103765382
3,21.63931826370731,21.63931826370731,21.63931826370731
4,696.1738812046765,696.1738812046765,696.1738812046765
5,679.9723103765382,679.9723103765382,679.9723103765382
6,257.1568350872775,257.1568350872775,257.1568350872775
7,679.9723103765382,679.9723103765382,679.9723103765382
8,151.24566803611768,151.24566803611768,151.24566803611768
9,157.6901357329488,157.6901357329488,157.6901357329488
10,1075.4800978015967,1075.4800978015967,1075.4800978015967
11,296.90083400258453,296.90083400258453,296.90083400258453
