subject_id,testscore_full,testscore_half,testscore_quarter
0,0.5058928676791496,-0.7261781717638318,0.22676267607638334
1,-0.09029521001945295,-1.6216836559499845,-9.781700028561694
2,0.3834799498197965,0.06036628278569711,-0.6996208837158456
3,0.594682256044651,0.014232539046926895,-15.32090014989043
4,0.183950295871253,-0.27856282210860006,-1.6026855738098935
5,0.38347994981979716,0.060366282785695335,-1.0691473139488923
6,-0.3247503193010248,-0.189584372187801,0.21199325833183247
7,0.38347994981979805,0.1256815018711509,-1.0691473139488923
8,0.027586699519374758,-0.27270050051382344,-0.4137404113963197
9,-0.1606246909953688,-0.38020197587640303,-0.8843612802977582
10,-0.3859008800475529,-0.30464442545422377,-0.6961754362462778
11,0.4328480349061708,0.10423069720043132,-39.65646327298463
